; 1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
; 8B Decimal,Dchar + K28.5,8B binary,8B Hex,10B-,sub4+,sub4-,sub6+,sub6-,Disparity end 10B-,10B+,sub4+,sub4-,sub6+,sub6-,Disparity end 10B+,
0,D0.0,000 00000,00,1001110100,,-1,1,,-,0110001011,1,,,-1,+,
1,D1.0,000 00001,01,0111010100,,-1,1,,-,1000101011,1,,,-1,+,
2,D2.0,000 00010,02,1011010100,,-1,1,,-,0100101011,1,,,-1,+,
3,D3.0,000 00011,03,1100011011,1,,,,+,1100010100,,-1,,,-,
4,D4.0,000 00100,04,1101010100,,-1,1,,-,0010101011,1,,,-1,+,
5,D5.0,000 00101,05,1010011011,1,,,,+,1010010100,,-1,,,-,
6,D6.0,000 00110,06,0110011011,1,,,,+,0110010100,,-1,,,-,
7,D7.0,000 00111,07,1110001011,1,,,-1,+,0001110100,,-1,1,,-,
8,D8.0,000 01000,08,1110010100,,-1,1,,-,0001101011,1,,,-1,+,
9,D9.0,000 01001,09,1001011011,1,,,,+,1001010100,,-1,,,-,
10,D10.0,000 01010,0A,0101011011,1,,,,+,0101010100,,-1,,,-,
11,D11.0,000 01011,0B,1101001011,1,,,,+,1101000100,,-1,,,-,
12,D12.0,000 01100,0C,0011011011,1,,,,+,0011010100,,-1,,,-,
13,D13.0,000 01101,0D,1011001011,1,,,,+,1011000100,,-1,,,-,
14,D14.0,000 01110,0E,0111001011,1,,,,+,0111000100,,-1,,,-,
15,D15.0,000 01111,0F,0101110100,,-1,1,,-,1010001011,1,,,-1,+,
16,D16.0,000 10000,10,0110110100,,-1,1,,-,1001001011,1,,,-1,+,
17,D17.0,000 10001,11,1000111011,1,,,,+,1000110100,,-1,,,-,
18,D18.0,000 10010,12,0100111011,1,,,,+,0100110100,,-1,,,-,
19,D19.0,000 10011,13,1100101011,1,,,,+,1100100100,,-1,,,-,
20,D20.0,000 10100,14,0010111011,1,,,,+,0010110100,,-1,,,-,
21,D21.0,000 10101,15,1010101011,1,,,,+,1010100100,,-1,,,-,
22,D22.0,000 10110,16,0110101011,1,,,,+,0110100100,,-1,,,-,
23,D23.0,000 10111,17,1110100100,,-1,1,,-,0001011011,1,,,-1,+,
24,D24.0,000 11000,18,1100110100,,-1,1,,-,0011001011,1,,,-1,+,
25,D25.0,000 11001,19,1001101011,1,,,,+,1001100100,,-1,,,-,
26,D26.0,000 11010,1A,0101101011,1,,,,+,0101100100,,-1,,,-,
27,D27.0,000 11011,1B,1101100100,,-1,1,,-,0010011011,1,,,-1,+,
28,D28.0,000 11100,1C,0011101011,1,,,,+,0011100100,,-1,,,-,
29,D29.0,000 11101,1D,1011100100,,-1,1,,-,0100011011,1,,,-1,+,
30,D30.0,000 11110,1E,0111100100,,-1,1,,-,1000011011,1,,,-1,+,
31,D31.0,000 11111,1F,1010110100,,-1,1,,-,0101001011,1,,,-1,+,
32,D0.1,001 00000,20,1001111001,,,1,,+,0110001001,,,,-1,-,
33,D1.1,001 00001,21,0111011001,,,1,,+,1000101001,,,,-1,-,
34,D2.1,001 00010,22,1011011001,,,1,,+,0100101001,,,,-1,-,
35,D3.1,001 00011,23,1100011001,,,,,0,1100011001,,,,,0,
36,D4.1,001 00100,24,1101011001,,,1,,+,0010101001,,,,-1,-,
37,D5.1,001 00101,25,1010011001,,,,,0,1010011001,,,,,0,
38,D6.1,001 00110,26,0110011001,,,,,0,0110011001,,,,,0,
39,D7.1,001 00111,27,1110001001,,,,-1,-,0001111001,,,1,,+,
40,D8.1,001 01000,28,1110011001,,,1,,+,0001101001,,,,-1,-,
41,D9.1,001 01001,29,1001011001,,,,,0,1001011001,,,,,0,
42,D10.1,001 01010,2A,0101011001,,,,,0,0101011001,,,,,0,
43,D11.1,001 01011,2B,1101001001,,,,,0,1101001001,,,,,0,
44,D12.1,001 01100,2C,0011011001,,,,,0,0011011001,,,,,0,
45,D13.1,001 01101,2D,1011001001,,,,,0,1011001001,,,,,0,
46,D14.1,001 01110,2E,0111001001,,,,,0,0111001001,,,,,0,
47,D15.1,001 01111,2F,0101111001,,,1,,+,1010001001,,,,-1,-,
48,D16.1,001 10000,30,0110111001,,,1,,+,1001001001,,,,-1,-,
49,D17.1,001 10001,31,1000111001,,,,,0,1000111001,,,,,0,
50,D18.1,001 10010,32,0100111001,,,,,0,0100111001,,,,,0,
51,D19.1,001 10011,33,1100101001,,,,,0,1100101001,,,,,0,
52,D20.1,001 10100,34,0010111001,,,,,0,0010111001,,,,,0,
53,D21.1,001 10101,35,1010101001,,,,,0,1010101001,,,,,0,
54,D22.1,001 10110,36,0110101001,,,,,0,0110101001,,,,,0,
